english,korean
"Greed, selfishness",욕심
First place,우승
"Ripe, be ripe",익다
"To submit,tender",제출하다
Cautious,조심스럽다
Just immediately before,직전
"To guess, infer",짐작하다
"Choose, select",택하다
"A site, place",터
"PC, personal computer",피시
"Flow out, run, effuse",흘러나오다
Family,가구
Simply speaking,간단히
River water,강물
"Finally or in the end, 마지막으로",궁극적
Exceedingly or extremely,극히
Contribute or add much to,기여하다
Tightly or fast,꼭
Date,날짜
A continent,대륙
Monitor,모니터
A criminal,범인
"Change, flucutation",변동
"Inevitable, unavoidable",불가피하다
"boil,cook (eggs)",삶다
Sandwich,샌드위치
"documents,papers",서류
"damage,injury",손해
Breathe one’s last breath,숨지다
Good heavens!,아유
"request,demand,claim",요청
"Fortune, luck, fate",운
Everyday (daily) life,일상생활
Self-confidence,자존심
"Sit down, plump down",주저앉다
Securities corporation,증권사
"Be dark, deep",진하다
"A plain, a prarie",초원
"last,final,terminal",최종
"To recover, get better, get well again",회복하다
"flow,run,drift along",흘러가다
"interest,zeal",흥미
A public prosecutor,검사
Those people,그쪽
Borrow or loan,꾸다
Overlook,내려다보다
The eyebrow,눈썹
"Relieve, replace another",대신하다
"A word, a tune, a song, a paragraph",마디
To that extent,미처
"a thin sheet of plastic, vinyl",비닐
"ratio,percentage",비율
A living thing,생물
"A noise,cacaphony",소음
Both countries,양국
at a momentary glance or intermittently appearing (e.g. catch a fleeting glimpse of),얼핏
To last for a long time,오래되다
"What sort of, what kind of",웬
"A piece,scrap,fragment",조각
"The center, middle part",중부
Tea,차
"vegetables,greens",채소
Spit,침
"Hair; fur, feathers",털
To sell,판매하다
A protest,항의
Come/fall under the purview of,해당
"security,insurance",확보
Environmental pollution,환경오염
"one’s values or sense of values, a value system",가치관
Black or dark,검은색
"To suffer or to have trials ; to do something you don\’t want to do, 하고 싶자 않은 것",고생하다
B.C.,기원전
The others or the rest,기타
Emergency,긴급
Break off or snap off,꺾다
To dream,꿈꾸다
"As many as, no less than",무려
Get buried,묻히다
A check,수표
"The actual conditions,reality",실태
"To miss, feel the loss of",아쉽다
"Love for a person, affection",애정
"Sonny, you there",얘
Oh my god!,어머
Telephone HELLO,여보세요
"To be fixed, settled, regular",일정
Genre,장르
Such a thing as that,저렇다
"adjoin,be adjacent to",접하다
"True heart,devotion",정성
"A condition,restriction",제약
"Drive away, chase off",쫓다
An addition,추가
Tape,테이프
"Width; bosom, breast (the clothes have a big ~)",품
"Analysis, analytical research",해석
To be confirmed,확인되다
To add,가하다
Soy sauce,간장
A lecture or discourse,강의
That thing,거
Be in anguish or worried,고민하다
1) A course or branch of study 2) a department or a faculty,과
An exchange,교환
1) The national language or 2) Korean,국어
Be yellow,노랗다
To hurt,다치다
Upper,상
An interval,새
Musical instrument,악기
"The end, close of the year",연말
Put a thing on a place,올려놓다
Outward appearance,외면하다
A manuscript,원고
"All the time, all through, repeatedly, constantly",줄곧
"Expenses, expenditure",지출
"difference,margin",차
"Straighten up, tidy, remove",치우다
"Fatigue, exhaustion",피로
"perfume,incense",향
To renovate or to improve,개선하다
Account,계좌
Pull,당기다
"Means continuing the main verb’s action ; to enter/go into ; to hold, to carry",들다
"The end, final period",말기
At a loss for words,말없이
Go to ruin,망하다
A document,문서
Applause,박수
A rich person,부자
Three days,사흘
The west,서쪽
"To be concluded, formed",성립되다
Grandson,손자
A bridegroom,신랑
"Actual training,practice",실습
Early,일찍이
"self-control,autonomy",자율
"quite,fairly,considerably",제법
To concentrate,집중되다
Creatively,창조적
The ceiling,천장
To dig,파다
"Indeed, though, nevertheless",하긴
"To be settled, resolved",해결되다
"Improve; elevation,rise",향상
"A painter, a drawer artist",화가
"To sink (calm,settle,subside)",가라앉다
1) wrap up or tuck in 2) to protect or defend,감싸다
To be at the highest or the best,고작
To watch or enjoy watching,구경하다
soup or broth or gravy,국물
A utensil or tool,기구
"to pave (a road), lay down a floor, spread a blanket etc.",깔다
"Pledge, vow, swear",다짐하다
A waiting room,대합실
Speak (honor.),말씀드리다
"A store, shop",매장
Become distant to,멀어지다
"A name,title",명칭
To be deplorable,불쌍하다
"commerce,trade",상업
To be produced,생산되다
To hide,숨기다
"one’s real ability,talent",실력
Vegetables,야채
The buttocks,엉덩이
"crying,weeping",울음
This month,이달
The human body,인체
"A coat, korean jacket",저고리
"All, everything",전부
"pleasure,merriment",즐거움
"To lose (at war, a game)",지다
Diagnosis,진단
"A disease, sickness",질병
"Form, organize",짜다
Physical strength,체력
"To be intimate, familiar, close, friendly",친하다
"Consider, weigh, ponder, consider",헤아리다
Each or severally or respectively,각기
A police station,경찰서
At once or straight away,곧바로
Observation or survey,관찰
Shoes or boots,구두
A soldier or a private,군사
A ghost,귀신
1) noble or high 2) dear 3) lovable or precious,귀하다
So much or to such an extent,그토록
Make the basis for,기초하다
Depth,깊이
A tree branch,나뭇가지
to get better (from an illness),낫다
"Answer, reply",답하다
"A price, cost, charge, consideration, purchase money, value",대가
The heat,더위
Dry sth,말리다
"A grave,tomb",무덤
A wave,물결
Dinner table,밥상
"To secure,guarantee",보장하다
An apple,사과
Make friends with,사귀다
"About three, three or four",서너
"rise,soar,tower above",솟다
Failure,실패
"To expect, anticipate",예상하다
An exception,예외
"Perfection, completeness",완전
To be funny,웃기다
A glass pane,유리
"absolute,unconditional",절대적
"To produce,manufacture",제작하다
Mouse,쥐
"At the most, at the maximum",최대한
The chin,턱
"To be in demand, to be sold",팔리다
"To hold, embrace",품다
Ha ha ha ha ha,하하
A husband of a girl’s older sister,형부
"Rest, take a rest",휴식
Harden or become hard,굳다
Become hard,굳어지다
To starve or go hungry,굶다
This year,금년
Machinery and tools,기기13
Black,까맣다
A compass,나침반
A farmer,농부
Graduate school,대학원
"Foul, dirty",더럽다
Arrival,도달하다
Taste,맛보다
Pattern,무늬
"writing,composition",문장
to Bury,묻다
Lawyer,변호사
"A statue,a figure",상
Imaginative powers,상상력
Female student,여학생
"business, doing business",영업
"Old days, days gone by",예
"Prevention, protection",예방
"completion,accomplishment",완성
"To be profitable, favorable",유리하다
Natural surroundings,자연환경
"To prove,show,bear",증명하다
To be pointed out to,지적되다
"A spot, point",지점
Thoroughly,철저히
Course,코스
Mothers of the students,학부모
"Rational, reasonable",합리적
"To intrepret, construe",해석하다
To try really hard,힘쓰다
Again or over and over,거듭
To return to one’s home country,귀국하다
Be pleased or delighted with,기뻐하다
To send flying,날리다
Set or put down,내려놓다
Freezer,냉장고
A carrot,당근
"Save, lighten",덜다
one’s wife,마누라
Go to greet,맞이하다
Do not permit,불행하다
"To state, declare",신고하다
"continuity,succession",연속
"To be lonely, lonesome",외롭다
An insult,욕
The chief/head (of a 학원),원장
"A relic, cultural remains",유물
"Of itself, on its own accord",저절로
Bow in salutation,절
maintaining equipment in good working order,정비
"attention,notice",주의
Last time,지난번
Put in,집어넣다
Statistics,통계
File,파일
"A match, game, contest",판
"A sufferer, the injured party",피해자
"necessary,indispensable",필수적
"School things, supplies",학용품
Flower pot,화분
"To be clear, unobstructed ; to be light, bright (opp. 어둡다)",환하다
Brown,갈색
A cold,감기
South of a river,강남
To be arrested,구속되다
Be splendid,멋지다
"Repulsion, a backlash",반발
Sie dishes,반찬
"Prevention, check",방지
Soak into,배다
"guarantee,security",보장
Come out of somewhere,빠져나오다
"leak,escape from",새다
"To be introduced,presented",소개되다
Seeds (sow),씨
"The inside, the inner part",안쪽
"To be regrettable, disappointing",억울하다
"Come and go, keep going and coming",오가다
"To be requested, claimed",요구되다
A voice,음성
"After a while, shortly",이윽고
Decoration,장식
"To unfold,evolve,spread out",전개하다
"The day before, the day prior",전날
"over-all,all",전반적
The preceding verb is a lie,척하다
"customs,manners,practices ; a ritual, rituals",풍습
"The very middle, the center",한가운데
"To be limiited, qualified",한정되다
"To accomplish, achieve, carry through",해내다
"Imitation, mimicry",흉내
Prison,감옥
Pay back a loan,갚다
Health or soundness or vitality,건전하다
Wedding,결혼식
Calculator,계산기
An open space or a plaza or public square,광장
So it is or that is right,그렇지
Break or crack,깨다
Tightly or fast,꽉
To put between or insert,끼우다
To sing,노래하다
"Trim, shave",다듬다
"Be similar, not different",다름없다
Dignified,당당하다
Dam,댐
"A lump, a cluster",덩어리
At long last,모처럼
Physics,물리학
Punishment,벌
"negative, contradicting sth else, not positive",부정적
The north part,북부
"separation,segration",분리
"proper,fit,suitable",상당
"To be strong, mighty",세다
Introduction,소개
Telephone receiver,수화기
A lover,애인
"The first, the beginning",애초
To be thin,얇다
Spices and condiments,양념
at/in/on,에
"To be polluted, contaminated",오염되다
Misunderstanding,오해
"What cause, what reason",웬일
A ceremony,의식
"To look to, depend on, rely on",의지하다
"A diary, journal",일기
Absoluteness,절대
"To restrict,limit",제한하다
"appreciate,esteem,value",존중하다
"A warehouse,storehouse",창고
"Still, not yet",채
Take responsibility,책임지다
"youth,the springtime of life",청춘
The opening part (of a game of baduk),초반
Truck,트럭
Onions,파
To be broad,폭넓다
To have been expressed,표현되다
Year of graduation,학번
Learning institute,학원
"Permission, grant, leave",허가
"Wander about, roam about",헤매다
Head of a household,가장
A tune or an air,곡
Cereals or grain,곡식
Be stuck in or insert,꽂다
Hesitate,망설이다
"A company, a band",무리
Butter,버터
Be of a peculiar kind,별다르다
Universal,보편적
"Parts, accessories",부품
"almost,nearly",뻔하다
"Be taken out, pulled out",뽑히다
Consultation,상담
The western part,서부
"A proverb,saying",속담
In the city,시중
"judgment,examination",심사
Oh my god!,아이
Make a person go,앞세우다
"To be similar, to resemble",유사하다
Kindergarten,유치원
"volition,will,desire",의욕
The neighborhood,인근
Of the general public,일반인
"To edit or compose, write up ; to fill out a form",작성하다
Specialty,전공
A fixed time period,정기
"A proposal,an offer",제의
"All day, throughout the whole day",종일
To become better,좋아지다
Appearance of clothes or worn objecs,차림
Create,창조하다
Cold,추위
Tomato,토마토
To be blue,파랗다
"Publish, bring out in print",펴내다
Hardwaer,하드웨어
Makeup,화장
To take or carry,가져가다
Potato,감자
Intense or strong or severe,강렬하다
Possess,갖다
Be painful or distressing,괴롭다
Traffic accident,교통사고
A place or spot,군데
Message,메시지
"escape,avoid",면하다
Evening twilight,모색하다
"seize,catch",붙잡다
"A color,shade,hue",빛깔
Cheek,뺨
The four directions,사방
"living,livelihood",살림
"realization,materialization",실현
"No, that’s not the case",아냐
"A performer, an entertainer",연예인
Forever,영원히
Monthly salary,월급
"Fashion, vogue",유행
"soon,right away",이내
"This way, this direction",이리
"kindly,please",제발
"gradually,step by step",차츰
"vote,voting",투표
"Destruction, demolition",파괴하다
God,하느님
To be applied/applicable under,해당되다
"Alone, by oneself",홀로
Close,가까이
To fill,가득하다
Each one or every one,각자
Daringly or boldly,감히
Insist on6000 Most Common Korean Words – 2,강요하다
Ant,개미
Custom or usage,관습
A spectacle or a sight in 3-d and uncut (compare 관광 tourism),광경
In a moment or at once,금세
"Lower, make low",낮추다
Take out and give away,내주다
"name,title",명의
Fish,물고기
"Fall back, to pull back, to pull back your position",물러나다
"Be close,intimate with",밀접하다
"request,favor",부탁
"quantity,measure",분량
"Only, not more than",불과
"Be clear,evident",뻔하다
"A box,case",상자
A new year,새해
"simple, naive, ingenuous",소박하다
Be unable to do,수없이
"promotion,advancement",승진
"Both, two",양
Ice,얼음
Fruit,열매
"To be recorded,written down",적히다
"marks,the number of marks",점수
"To be restricted,limited",제한되다
"Be lasting a long time, be continous",지속되다
"To be chased, be driven",쫓기다
All the time,쭉
A bankbook (check register),통장
To be appraised,평가되다
"Too much, excessively",하도
"The height, summit , the top",한창
"The seashore, the coast",해안
Pumpkin,호박
A Negro,흑인
Liver,간
Be confined or shut up,갇히다
To resolve or be determined,결심하다
Sports stadium or a sports field,경기장
Broken,고장
Labor or exertion,근로
The pupil,눈동자
"Be late, overdue",늦다
Shut the mouth!,닥치다
Lunchbox lunch,도시락
A gesture,몸짓
"bear,shoulder a responsibility",부담하다
A vice president,부회장
"Snach, take away from",빼앗다
Swallow,삼키다
Be ripe,성실하다
Studio,스튜디오
"The truth, a fact",실제
"recently,lately",요새
Abnormal,이상적
Habitual practice,일쑤
"All, everything,the whole",일체
Repeatedly (emphasized),자꾸만
"Be frequent, incessant",잦다
"despair,hopelessness",절망
Fold up,접다
To be presented,제시되다
"A kitchen, a cookroom",주방
"Penetrate into, advance",진출하다
Annoyance,짜증
The first day,첫날
Passage through,통과하다
"To be transparent, clear",투명하다
To get diffused,확산되다
one’s personal history,경력
Be painful or torment,고통스럽다
Difficulty or trouble,곤란하다
The air or the sky,공중
Environmental pollution,공해
Annoying irksome,귀찮다
1) To rely upon or lean upon 2) lean against,기대다
Return to consciousness,깨어나다
To be elected,꼽히다
A large majority,대다수
"To be like something, i guess",듯싶다
Food,먹이
Radish,무
Free,무료
Be detestable,밉다
Ballet,발레
Symbolize,상징하다
"To realize,bring to fruition",실현하다
"regrettable,pitiful",아깝다
To be stable,안정되다
"juvenile,foolish",어리석다
"Prostrate oneself, lie on the ground",엎드리다
"many,many people",여럿
A public speech,연설
Pencil,연필
"anxiety,worry",염려
"To be funny, amusing",우습다
Driving,운전
To become accustomed to,익숙하다
"A date, the number of days",일자
"banquet,feast",잔치
To be delivered,전달되다
"cold,chilly",차다
"To cure, heal, treat a patient",치료하다
Blank space,칸
"A grudge, rancor",한
As one goes aong,갈수록
A variety of or all sorts,갖가지
Refuse or reject,거절하다
A tourist,관광객
To distinguish between A and B,구별하다
Soup or broth,국
Good luck,다행
"Finish, completion",마무리
Collide with,마주치다
"Really, actually",막상
"The trunk,body",몸통
A nail,못
To describe,묘사하다
Fine arts museum,미술관
"Cut, chop",베다
Be secured,보장되다
Cheek,볼
Departmental,부분적
Roast meat,불고기
"soak,steep",불리다
Unhappiness,불행
A scream,비명
"purity,genuineness",순수
The time of day,시각
"substantial,essential",실질적
Fog,안개
Summertime,여름철
"Only, solely, exclusively",오로지
"To accomplish, to end successfully",완성하다
"This and that, one and another",이런저런
"A duty, an office, a task",임무
Naturally,자연히
"A game,playing",장난
"Such a, that sort of",저런
Exclusive or private use,전용
"very,extremely",지극히
"ask,request",청하다
"decision,settlement",확정
Imagination,가상
Each one or every one,각자
Occasionally or at times,간혹
To open or to throw open,개방하다
Be affected or influenced by,관계되다
A country’s product,국산
That year,그해
To go or die out,꺼지다
The top,꼭대기
To break off or expire or be done with,끊어지다
Road,도
Mike,마이크
"To carry,attach;put on",메우다
"area,dimensions",면적
A bath,목욕
Reflection,반성
"Suddenly, abruptly",벌떡
Compensation,보상
To be segregated,분리되다
Debt,빚
"To sculpt,engrave",새기다
Common people,서민
"A seat,sitting place",석
"select,choose",선정하다
Count,세다
"A small number, a few",소수
Show,쇼
Mathematics,수학
one’s husband’s mother,시어머니
one’s husband’s home/family,시집
For a year,연간
Movie festival,영화제
"To predict, forecast",예측하다
"use,service",용도
A doubt,의심
"To move,migrate,travel",이동하다
To stimulate,자극하다
"quickly,rapidly",재빨리
"suitability,fitness",적합하다
Telephone number,전화번호
"To regulate,tune",조절하다
"regulation,control,coordination",조정
Mutter to oneself,중얼거리다
"To pay,allow,furnish sth",지급하다
"expansion, enlargement",확장
"Be forcible,powerful",힘차다
Dryness or aridity,건조
Be quiet or silent or still,고요하다
You or thou,그대
Beloved or sweet or affectionate,그립다
1) draw or mark 2) strike,긋다
A pillar,기둥
To become tense,긴장하다
Sharp,날카롭다
"Argue, discuss,debate",논하다
"Be slow, tardy",느리다
Immorality,도덕
The features of the back side,뒷모습
10000,만
"Be soft, tender ; to be easy to handle, deal with",만만하다
To go wrong,못되다
Report to a person,보고하다
Office,사무소
a cousin,사촌
A prize,상
"merchant,trader",상인
"declare,proclaim,announce",선언하다
one’s desire,소원
To import,수입하다
"To get cold, cool off",식다
Wait for an opportunity,엿보다
To be accomplished,완성되다
"Remains, relics,ruins",유적
one’s lifetime,일생
"Clothe, dress",입히다
Slaughter and eat,잡아먹다
Change to an information orientation,정보화
A variety of things,종종
"A purse,wallet",지갑
"Put on, fasten,wear",차다
"Creation, origination",창작
"Reduction, a cutback",축소
"Taste, liking, one’s inclinations",취향
"To be kind, to be nice",친절하다
"Counter, where you pay",카운터
To be born,탄생하다
"Dormitory, boarding house",하숙집
A class (school),학급
The navy,해군
"The utility factor, efficiency",효율적
one’s heart feelings,가슴속
A salty taste or saltiness,간
A signboard,간판
1) touch or jog 2) irritate or vex,건드리다
To manage or control or supervise or manage,관리하다
Trouble or annoyance or distress,괴로움
To base sth on sth,근거하다
Amount ofmoney,금액
Fortunately,다행히
Calm down,달래다
Make stop,말리다
Heart,맘
"VST + 먹다 , adds no meaning",먹다
Festival days,명절
"Be inferior, worse than",못하다
Violin,바이올린
To find out,밝혀내다
"Break, be broken",부서지다
"Flying, aviation",비행
To not be of concern,상관없다
"To exist, to come into being",성립하다
Life span,수명
Season,시즌
"To be marvelous,astounding",신기하다
"To carry on one’s back, to shoulder sth",업다
"A presentiment, a premonition",예감
Anything to eat or drink,음식물
Self-confidence,자신감
A criminal,죄인
Pay attention to,주의하다
Stuff that needs to be prepared,준비물
"Cloth, woven stuff",천
Coming and going,출입
"A pleasant sensation, a good feeling",쾌감
Birth,탄생
"Spring, bound, jump",튀다
Why necessarily? Why of all things?,하필
Practical use,활용
Gray,회색
A large sum of money,거액
High school,고교
To be stubborn or persistent,고집하다
1) fairly or pretty well 2) frequently or too often,곧잘
A valley or gorge,골짜기
Edification or giving instructions to,교훈
Roll over,구르다
1) Handwriting 2) a letter or an ideograph or a character,글씨
Singing room,노래방
"A piece, fragment",단편
"Disposal, treatment",대처하다
Tie,매다
Headhair,머리카락
"clear,precise",명확하다
"Gait, step",발걸음
"A kick; walking pace, steps",발길
A bug,벌레
A thing be taken away,빼앗기다
A producer,생산자
"seniority,advance",선진
An adult,성인
1)a sleeve 2) a retail sale,소매
Cement,시멘트
"A new regulation, a new project, sth new on a big scale ; work being done anew",신규
To apply (for),신청하다
"In reality, to tell the truth",실은
"referencing,umpireship",심판
to be embraced by sb (in their arms),안기다
Conscience,양심
A director,이사장
Interest,이자
To become accustomed to,익숙해지다
Be detailed,자세하다
That thing over there,저거
"savings,saving",저축
A swallow,제비
"A proposal,suggestion",제안
"To propose,make a suggestion",제안하다
"Symptoms, a patient’s condition",증세
"Old days, old times",지난날
Promotion,진급
Bean soup,콩나물
"Jump out, spring out",튀어나오다
"A standard, norm, criteria",표준
"A port, a harbor",항구
"Permission, allowance",허용
Helicopter,헬기
Narrowly or barely. 겨우,간신히
Change one’s clothes,갈아입다
Wind up,감다
To do together or to share,같이하다
Fabrication or fiction,거짓
Bubble,거품
Come on foot or walk,걸어오다
The air force,공군
Technician,기술자
"Herbs, wild greens",나물
Year of birth,년생80
"A run, a spin",달리기
Large city,대도시
"A thief, a burglar",도둑
"Challenge, defiance",도전
Subdivision of a county,면
A hat,모자
"assistance,aid",보조
"to be disadvantageous,unfavorable to/for",불리하다
Inconvenience,불편
"rub,chafe",비비다
An apology,사과
"revive,be brought back to life",살아나다
Sofa,소파
"deceive,cheat",속이다
"sleep,slumber",수면
Thousands,수천
20,스무
"A contest,match",승부
"The time, the season",시기
"belief,faith",신념
A new student,신입생
"A youngster, a child",어린아이
"(1) somehow, in a strange way ; (2) in combination with an ending giving a reason to place stress on the action of the verb",어쩐지
"Some, a little (여간 ~지 않다 means very very ~다)",여간
A railroad station/depot,역
"To contact, get in touch with",연락하다
"Influence, power to influence",영향력
"Courtesy, politeness",예의
"within,less than",이내
"This way and that, here and there",이리저리
Personal,인간적
"To greet, say hello",인사하다
"A king, ruler,sovereign",임금
"To be handsome,excellent",잘나다
"talent,ability",재능
To pay,지불하다
"Small, local police box",파출소
Board,판
"Chinese writing, chinese classics",한문
To pass over or to put on the other side (of a river),건네주다
The decision of the final round of a contest,결승
The public or the common,공공
Culture or education,교양
A king or a monarch,국왕
Be regular or systematic,규칙적
Conquest or subjugation,극복
Now or well or let me see,글쎄요
To become lower,내려지다
Refrigeration,냉동
To melt,녹다
"Mostly, for the most part",대개
Chinese cabbage,배추
Center,센터
Beard,수염
To collect,수집하다
Passenger,승객
"Be fresh, full of life",싱싱하다
Oh-oh!,아아
one’s eyes dim with tears,어리다
A passport,여권
Lock,열쇠
Orange,오렌지
Outward appearance,외모
"Art, human skill",인공
Bed,잠자리
The eldest son,장남
"Each one, everyone",저마다
National,전국적
"The whole, all, general",전반
The proper/original place,제자리
Be tedious,지루하다
A few ships (vessels),척
Grape wine,포도주
"Science, learning, scolarship",학술
Blood,혈액
An arrow,화살
"A fire, a blaze",화재
1) split or divide 2) distribute or share 3) distinguish or separate,가르다
Each and every,각각
A space or interval,간격
A shout or yell,고함
To attack,공격하다
That person or that guy,그놈
To be recorded or written down,기록되다
Endless or unfathomable,끝없다
Interrupt,끼어들다
Route,노선
Answer,답
"Speech, dialogue",대사
To make an escape,도망치다
Reading,독서
In the soil,땅속
A fine,벌금
"luck,happiness",복
"service,attendance",봉사
"one’s post,duty",부서
"castle,fortress",성
Small size,소형
A new man,신인
Nightmare,악몽
"Guidance, conducting",안내
Before and behind,앞뒤
A hill,언덕
Passion,열정
An opera,오페라
"Appetite, taste, palate",입맛
Jazz,재즈
"Be suited to, adapted to",적응하다
Absoluteness,절대
"A plate,platter",접시
An offer,제공
"Go too far, to go to extremes",지나치다
"participation,joining",참가
Body weight,체중
Korean thanksgiving,추석
"A collision, clash; discord",충돌
"A passage, a way, an aisle",통로
"packing,wrapping",포장
"Dissolution, disorganization",해소
"The porch, the entrance",현관
A modern person,현대인
"A favor, benefit",혜택
A lake,호수
"With a burst, great puff",확
To cross or go over (river or street),건너가다
Evenly or among all indiscriminately,골고루
Every nook and corner,구석구석
Then,그제서야
Gum,껌
Green,녹색
The lastborn,막내
To be repeated,반복되다
Generate electricity,발전
"An obstacle, hindrance",방해
A number,번호
A rice plant,벼
Person in question,본인
"A shop,store",상점
Hundreds,수백
"boss,president",실장
"Be lonely,lonesome",쓸쓸하다
Handshake,악수
"Troubles, worries",애
"To be dizzy 2) to be in chaos, disorganized",어지럽다
"Be subject to an attack of vertigo (figuratively), to not know what the hell is going on or what to do.",어찌하다
"Make a program, set a schedule",예정되다
"duplication,double",이중
The number of persons,인원
To receive recognition,인정받다
Interview,인터뷰
To enter/be admitted into a school,입학하다
Pride,자랑
That thing over there,저것
"The front gate,main entrance",정문
"Hallucination, illusion",착각
Window,창
A woman’s maiden home and family,친정
To become turned on,켜지다
Type,타입
Pack,팩
"To make a sign, display",표시하다
"To do, act, behave",행하다
"extensively,widely",활짝
To show appreciation,감상하다
An individual or a particular case,개별
Formal or procedural,공식적
Such as it is or anyways,그런대로
Christianity,기독교
Realization,깨달음
To smoke,끼다
"Fall down, collapse",넘어지다
To be dazzling,눈부시다
A weak point,단점
Be determined to,마음먹다
Catalogue,목록
To repeat,반복하다
Examine oneself,반성하다
"nickname,alias",별명
"ingegrity,preservation",보전
Call to come,불어오다
"To possess,hold",소유하다
Watermelon,수박
Switch,스위치
"indebtedness,obligation",신세
To find out (e.g. the answer),알아내다
Cancer,암
"A clamro, uproar 2) a scolding",야단
Yes.,얘
Yen (japanese),엔
"Connection, linking",연결
"a connection, a grouping together, relationships",연관
"To pardon, to forgive",용서하다
Feeling of friendship,우정
The army,육군
Restaurant,음식점
"To consult,confer with, talk over a matter",의논하다
How many people counter for at restaurants,인분
"To be chief,principal,leading",주요하다
Rice porridge,죽
For all the world,차마
"reference,comparison",참조
The first,첫째
"Be born, gifted/endowed with",타고나다
"To take in a car, give a ride to",태우다
"Use, exercise",행사
A perfume,향수
"To be permitted, approved",허용되다
Entrance,가입
Supposition,가정
A snack or pastries or candy,과자
Shift or change or alternate,교체
"Seaweed, laver",김
A dwarf,꼬마
Boundlessly,끝없이
"to move a long or semi-long distance (not just within a room); Carry, convey, transport",나르다
"Banter, tease",놀리다
"(1) Scatter about haphazardly ; (2) 으로 늘어놓다 to arrange, place in order",늘어놓다
"To shut, be closed",닫히다
Represent,대표하다
University,대학교
"Back, same as ever, same as it was before",도로
A slightly bitter soju drink,막걸리
Smell,맡다
Miss,미스
"to be left undone, to be late in making a payment (to fall into arrears) (2) to be pushed, shoved",밀리다
A rice bown,밥그릇
A door of a room,방문
Get sick,병들다
"Break, get broken",부러지다
"flame,blaze,spark",불꽃
Relativity,상대성
questions like those on a questionnaire,설문
Novelist,소설가
"brush, sweep perhaps lightly",쓸다
Peacefully,안녕히
"The interior and exterior, both sides",안팎
"To protect, prevent, fend off",예방하다
"Coming (year, week)",올
"To bear in mind, be heedful of",유의하다
Confucianism,유학
To be understood,이해되다
"reduction,lowering",인하
"editing,composition ; filling out a form",작성
"Be snapped,broken,cut off",잘리다
Delivery,전달
"An exhibition, show, display",전시회
To call,전화하다
"To exchange, to convert, to change over",전환하다
Political science,정치학
A seat,좌석
"An order, a request",주문
Housework,집안일
"Systematic, organizational",체계적
Going to work,출근
Cream,크림
"Be excellent, prominished",탁월하다
Hollow,텅
To vomit,토하다
"Completely, entirely",푹
One fleeting moment,한순간
Words or lyrics,가사
Member or subscriber,가입자
To reduce or diminish,감소하다
Frog,개구리
Resultative,결과적
Afflict or worry,괴롭히다
A distinction or a separation,구별
To wake up or awaken,깨우다
A string or a cord,끈
To be cut off or severed,끊기다
To not end,끊임없다
To be enough,넉넉하다
"About two, a couple",두어
A drug,마약
"The bottom,base",밑바닥
To be reported,보도되다
Barley,보리
The headquarters,본부
"wealth,riches",부
"to ripen, to mature",성숙하다
"Passivity,passiveness",소극적
"use,usefulness",소용
Handle with care,손질하다
Handkerchief,수건
A brief instant,순식간
"An attempt,test",시도
A collection of poems,시집
Mr. so-and-so,아무개
"A weak point, a vulnerable point",약점
Western European style clothing,양복
"For what reason, why is that",어째서
"Freeze, be frozen",얼다
"A woman, a girl",여
"Age, years of age",연령
"Preparation, reserve",예비
Sound of crying,울음소리
That rascal!,이놈
"Curriculum vitae, a resume (for a job)",이력서
To be recognized,인정되다
Fall asleep,잠자다
A pair of chopsticks,젓가락
One whole year,주년
"To interrupt, to stop",중단하다
"importance,gravity",중대하다
A central place,중심지
Related to the concentration,집중적
"To be true, honest, faithful",참되다
An invitation,초청
A publishing company,출판사
"A table, desk",탁자
A rabbit,토끼
"Very, very much",퍽
"Manners, customs, morals",풍속
Pian,피아노
Excuse,핑계
"More, still more",한층
"Good luck, good fortune",행운
Interrupt or obstruct,가로막다
Interfere or meddle,간섭
Thirst,갈증
All of a sudden,갑작스럽다
To exchange,교환하다
And so or and then,그래야
Origin,기원
The roadside,길가
"A war, revolt",난리
Brother and sister,남매
Throw away,내버리다
Missile,미사일
A toe,발가락
Preservation,보존
To be protected,보호되다
"see,meet",뵙다
"to send, to post",부치다
"Concern, relation",상관
To be explained,설명되다
"Be sorry,disappointed",섭섭하다
"A generation,age,epoch",세
"To be polished,refined",세련되다
"Be easy, simple",손쉽다
Appetizers for alcohol,안주
"A youngster, a child",어린애
"Heat, hot air",열기
"Dress, one’s way of dressing",옷차림
"To console, soothe somebody",위로하다
"Like this, like so",이같이
A doll,인형
"Agreement, accord",일치
"revival,restoration to life",재생
An electric railway,전철
"To be torn, rent",찢어지다
Philosopher,철학자
To Congratulate sb,축하하다
Color,컬러
Conversation by telephone,통화
"Be peculiar, special, unique",특이하다
"Necessity, necessary",필연적
"One night, a single night",하룻밤
"Run (stream,pour) down",흘러내리다
Fake,가짜
Intensity or strength,강도
Bear,곰
Fast or quickly or in a hurry,급히
Commemoration,기념
"Become better, be improved",나아지다
"Fall, come down",넘어오다
Manner,매너
Folk-customs,민속
"Take away, throw away to somewhere",버려지다
Rainwater,빗물
"environment,surroundings",사위
New Year’s Day,설날
Persuasion,설득하다
"handling,care",손질
Fingernail,손톱
Bread,식빵
Part time,아르바이트
Loneliness,외로움
Recite from memory,외우다
The driver,운전자
A window which uses glass,유리창
"Enlistment, enrollment",입대
